run_id,timestamp,settlement_date,settlement_period,depot_id,total_charge_kwh,total_charge_mwh,average_charge_kw,interval_kw,active_vehicle_count,charger_count_used
phase3_baseline_sample,2026-05-09 18:30:00+01:00,2026-05-09,38,DEPOT_A,75.0,0.075,150.0,150.0,1,1
phase3_baseline_sample,2026-05-09 19:00:00+01:00,2026-05-09,39,DEPOT_A,200.0,0.2,400.0,400.0,3,3
phase3_baseline_sample,2026-05-09 19:30:00+01:00,2026-05-09,40,DEPOT_A,300.0,0.3,600.0,600.0,5,5
phase3_baseline_sample,2026-05-09 20:00:00+01:00,2026-05-09,41,DEPOT_A,288.95,0.28895,577.9,577.9,6,5
phase3_baseline_sample,2026-05-09 20:30:00+01:00,2026-05-09,42,DEPOT_A,283.276,0.28327600000000003,566.552,566.552,6,5
phase3_baseline_sample,2026-05-09 21:00:00+01:00,2026-05-09,43,DEPOT_A,418.9015,0.4189015,837.803,837.803,7,6
phase3_baseline_sample,2026-05-09 21:30:00+01:00,2026-05-09,44,DEPOT_A,361.5349,0.3615349,723.0698,723.0698,8,5
phase3_baseline_sample,2026-05-09 22:00:00+01:00,2026-05-09,45,DEPOT_A,441.3174,0.4413174,882.6348,882.6348,11,6
phase3_baseline_sample,2026-05-09 22:30:00+01:00,2026-05-09,46,DEPOT_A,425.0,0.425,850.0,850.0,9,5
phase3_baseline_sample,2026-05-09 23:00:00+01:00,2026-05-09,47,DEPOT_A,416.9131,0.4169131,833.8262,833.8262,10,6
phase3_baseline_sample,2026-05-09 23:30:00+01:00,2026-05-09,48,DEPOT_A,337.5,0.3375,675.0,675.0,7,4
phase3_baseline_sample,2026-05-10 00:00:00+01:00,2026-05-10,1,DEPOT_A,296.493,0.296493,592.986,592.986,8,5
phase3_baseline_sample,2026-05-10 00:30:00+01:00,2026-05-10,2,DEPOT_A,312.5,0.3125,625.0,625.0,6,4
phase3_baseline_sample,2026-05-10 01:00:00+01:00,2026-05-10,3,DEPOT_A,228.581,0.22858099999999998,457.162,457.162,6,4
phase3_baseline_sample,2026-05-10 01:30:00+01:00,2026-05-10,4,DEPOT_A,87.5,0.0875,175.0,175.0,2,2
phase3_baseline_sample,2026-05-10 02:00:00+01:00,2026-05-10,5,DEPOT_A,87.5,0.0875,175.0,175.0,2,2
phase3_baseline_sample,2026-05-10 02:30:00+01:00,2026-05-10,6,DEPOT_A,4.3317000000000005,0.004331700000000001,8.663400000000001,8.663400000000001,2,2
