service_date,depot_id,vehicle_id,vehicle_type,arrival_time,departure_time,battery_kwh,start_soc_pct,target_soc_pct,max_charger_kw,assigned_charger_id,priority,route_block,required_kwh,available_charging_hours,min_average_kw_required,feasibility_flag,feasibility_message
2026-05-09,DEPOT_A,DEPOT_A-EV-001,double_deck_bus,2026-05-09T20:50:00+01:00,2026-05-10T07:30:00+01:00,485.8,43.8,81.4,150,DEPOT_A-CHG-01,normal,RB-977,182.66080000000005,10.666666666666666,17.124450000000007,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-002,single_deck_bus,2026-05-09T20:55:00+01:00,2026-05-10T05:50:00+01:00,305.0,52.3,89.7,100,DEPOT_A-CHG-02,normal,RB-839,114.07000000000002,8.916666666666666,12.792897196261686,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-003,double_deck_bus,2026-05-09T18:25:00+01:00,2026-05-10T07:25:00+01:00,502.9,41.4,91.4,150,DEPOT_A-CHG-03,low,RB-418,251.45000000000005,13.0,19.342307692307696,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-004,double_deck_bus,2026-05-09T19:15:00+01:00,2026-05-10T06:10:00+01:00,514.8,19.6,82.3,150,DEPOT_A-CHG-04,normal,RB-714,322.77959999999996,10.916666666666666,29.567596946564883,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-005,single_deck_bus,2026-05-09T20:25:00+01:00,2026-05-10T06:10:00+01:00,353.7,25.0,81.9,150,DEPOT_A-CHG-05,normal,RB-527,201.25530000000003,9.75,20.641569230769235,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-006,single_deck_bus,2026-05-09T23:25:00+01:00,2026-05-10T06:55:00+01:00,311.7,29.6,92.5,100,DEPOT_A-CHG-06,normal,RB-823,196.0593,7.5,26.14124,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-007,double_deck_bus,2026-05-09T18:55:00+01:00,2026-05-10T05:10:00+01:00,484.9,18.3,91.8,150,DEPOT_A-CHG-07,normal,RB-697,356.4015,10.25,34.77087804878049,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-008,single_deck_bus,2026-05-09T21:40:00+01:00,2026-05-10T05:00:00+01:00,364.1,22.2,90.0,100,DEPOT_A-CHG-08,normal,RB-523,246.8598,7.333333333333333,33.6627,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-009,double_deck_bus,2026-05-09T21:35:00+01:00,2026-05-10T06:25:00+01:00,425.4,29.2,80.5,100,DEPOT_A-CHG-01,normal,RB-492,218.23019999999997,8.833333333333334,24.705305660377352,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-010,commercial_van,2026-05-09T19:30:00+01:00,2026-05-10T04:40:00+01:00,118.1,28.4,84.4,50,DEPOT_A-CHG-02,normal,RB-695,66.13600000000001,9.166666666666666,7.2148363636363655,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-011,double_deck_bus,2026-05-09T20:40:00+01:00,2026-05-10T07:20:00+01:00,433.9,24.2,80.3,100,DEPOT_A-CHG-03,normal,RB-180,243.41789999999997,10.666666666666666,22.820428125,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-012,single_deck_bus,2026-05-09T21:15:00+01:00,2026-05-10T05:00:00+01:00,349.3,43.8,86.7,75,DEPOT_A-CHG-04,normal,RB-442,149.84970000000004,7.75,19.335445161290327,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-013,single_deck_bus,2026-05-09T18:35:00+01:00,2026-05-10T04:55:00+01:00,386.6,53.6,93.6,100,DEPOT_A-CHG-05,normal,RB-729,154.64,10.333333333333334,14.965161290322579,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-014,double_deck_bus,2026-05-09T22:40:00+01:00,2026-05-10T06:05:00+01:00,392.4,28.1,81.4,100,DEPOT_A-CHG-06,normal,RB-911,209.1492,7.416666666666667,28.19989213483146,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-015,single_deck_bus,2026-05-09T21:45:00+01:00,2026-05-10T05:05:00+01:00,349.0,49.7,91.4,100,DEPOT_A-CHG-07,normal,RB-746,145.53300000000002,7.333333333333333,19.845409090909094,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-016,double_deck_bus,2026-05-09T22:15:00+01:00,2026-05-10T04:50:00+01:00,383.1,33.4,80.6,100,DEPOT_A-CHG-08,normal,RB-544,180.82319999999999,6.583333333333333,27.466815189873415,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-017,single_deck_bus,2026-05-09T21:50:00+01:00,2026-05-10T05:05:00+01:00,282.5,52.2,88.7,100,DEPOT_A-CHG-01,normal,RB-411,103.1125,7.25,14.222413793103447,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-018,commercial_van,2026-05-09T21:10:00+01:00,2026-05-10T07:15:00+01:00,106.4,21.1,87.3,75,DEPOT_A-CHG-02,low,RB-541,70.43679999999999,10.083333333333334,6.98546776859504,feasible,Vehicle can meet target SoC within plug-in window.
2026-05-09,DEPOT_A,DEPOT_A-EV-019,single_deck_bus,2026-05-09T19:45:00+01:00,2026-05-10T05:40:00+01:00,378.6,37.3,86.6,75,DEPOT_A-CHG-03,normal,RB-119,186.6498,9.916666666666666,18.821828571428572,feasible,Vehicle can meet target SoC within plug-in window.
