timestamp,settlement_date,settlement_period,price_gbp_per_mwh,source,market,price_type,currency,unit,ingestion_timestamp,data_quality_flag,notes
2026-05-09 00:00:00+01:00,2026-05-09,1,43.73,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 00:30:00+01:00,2026-05-09,2,32.53,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 01:00:00+01:00,2026-05-09,3,56.27,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 01:30:00+01:00,2026-05-09,4,57.54,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 02:00:00+01:00,2026-05-09,5,48.05,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 02:30:00+01:00,2026-05-09,6,54.15,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 03:00:00+01:00,2026-05-09,7,66.23,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 03:30:00+01:00,2026-05-09,8,60.39,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 04:00:00+01:00,2026-05-09,9,57.21,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 04:30:00+01:00,2026-05-09,10,57.03,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 05:00:00+01:00,2026-05-09,11,43.07,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 05:30:00+01:00,2026-05-09,12,90.68,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 06:00:00+01:00,2026-05-09,13,67.16,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 06:30:00+01:00,2026-05-09,14,79.01,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 07:00:00+01:00,2026-05-09,15,94.46,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 07:30:00+01:00,2026-05-09,16,82.84,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 08:00:00+01:00,2026-05-09,17,97.41,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 08:30:00+01:00,2026-05-09,18,113.19,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 09:00:00+01:00,2026-05-09,19,95.34,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 09:30:00+01:00,2026-05-09,20,71.13,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 10:00:00+01:00,2026-05-09,21,81.18,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 10:30:00+01:00,2026-05-09,22,89.69,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 11:00:00+01:00,2026-05-09,23,83.74,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 11:30:00+01:00,2026-05-09,24,81.98,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 12:00:00+01:00,2026-05-09,25,69.32,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 12:30:00+01:00,2026-05-09,26,86.51,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 13:00:00+01:00,2026-05-09,27,86.37,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 13:30:00+01:00,2026-05-09,28,94.07,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 14:00:00+01:00,2026-05-09,29,95.4,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 14:30:00+01:00,2026-05-09,30,88.2,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 15:00:00+01:00,2026-05-09,31,67.22,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 15:30:00+01:00,2026-05-09,32,69.08,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 16:00:00+01:00,2026-05-09,33,72.12,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 16:30:00+01:00,2026-05-09,34,121.55,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 17:00:00+01:00,2026-05-09,35,278.27,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 17:30:00+01:00,2026-05-09,36,297.15,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 18:00:00+01:00,2026-05-09,37,287.55,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 18:30:00+01:00,2026-05-09,38,288.64,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 19:00:00+01:00,2026-05-09,39,292.11,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 19:30:00+01:00,2026-05-09,40,121.96,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 20:00:00+01:00,2026-05-09,41,69.3,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 20:30:00+01:00,2026-05-09,42,104.07,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 21:00:00+01:00,2026-05-09,43,95.17,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 21:30:00+01:00,2026-05-09,44,95.71,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 22:00:00+01:00,2026-05-09,45,75.27,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 22:30:00+01:00,2026-05-09,46,65.37,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 23:00:00+01:00,2026-05-09,47,68.44,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
2026-05-09 23:30:00+01:00,2026-05-09,48,72.52,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-05-09T20:32:50.215280+00:00,ok,synthetic scenario: evening_spike
