timestamp,settlement_date,settlement_period,price_gbp_per_mwh,source,market,price_type,currency,unit,ingestion_timestamp,data_quality_flag,notes
2026-05-09 00:00:00+01:00,2026-05-09,1,-36.93,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 00:30:00+01:00,2026-05-09,2,-23.08,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 01:00:00+01:00,2026-05-09,3,-33.96,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 01:30:00+01:00,2026-05-09,4,-52.28,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 02:00:00+01:00,2026-05-09,5,-47.9,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 02:30:00+01:00,2026-05-09,6,-34.81,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 03:00:00+01:00,2026-05-09,7,-42.95,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 03:30:00+01:00,2026-05-09,8,-31.83,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 04:00:00+01:00,2026-05-09,9,33.36,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 04:30:00+01:00,2026-05-09,10,69.86,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
2026-05-09 05:00:00+01:00,2026-05-09,11,67.8,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-06-29T11:52:24.365337+00:00,ok,synthetic scenario: negative_price_overnight
