delivery_date,settlement_period,delivery_start,delivery_end,price_gbp_per_mwh,market,source,price_type,currency,unit,notes
2026-05-09,1,2026-05-09 00:00:00+01:00,2026-05-09 00:30:00+01:00,50.63,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,2,2026-05-09 00:30:00+01:00,2026-05-09 01:00:00+01:00,49.58,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,3,2026-05-09 01:00:00+01:00,2026-05-09 01:30:00+01:00,59.51,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,4,2026-05-09 01:30:00+01:00,2026-05-09 02:00:00+01:00,48.07,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,5,2026-05-09 02:00:00+01:00,2026-05-09 02:30:00+01:00,36.5,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,6,2026-05-09 02:30:00+01:00,2026-05-09 03:00:00+01:00,48.28,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,7,2026-05-09 03:00:00+01:00,2026-05-09 03:30:00+01:00,53.04,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,8,2026-05-09 03:30:00+01:00,2026-05-09 04:00:00+01:00,59.23,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,9,2026-05-09 04:00:00+01:00,2026-05-09 04:30:00+01:00,65.25,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,10,2026-05-09 04:30:00+01:00,2026-05-09 05:00:00+01:00,36.17,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,11,2026-05-09 05:00:00+01:00,2026-05-09 05:30:00+01:00,43.22,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,12,2026-05-09 05:30:00+01:00,2026-05-09 06:00:00+01:00,76.57,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,13,2026-05-09 06:00:00+01:00,2026-05-09 06:30:00+01:00,86.05,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,14,2026-05-09 06:30:00+01:00,2026-05-09 07:00:00+01:00,76.37,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,15,2026-05-09 07:00:00+01:00,2026-05-09 07:30:00+01:00,88.13,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,16,2026-05-09 07:30:00+01:00,2026-05-09 08:00:00+01:00,91.59,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,17,2026-05-09 08:00:00+01:00,2026-05-09 08:30:00+01:00,82.74,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,18,2026-05-09 08:30:00+01:00,2026-05-09 09:00:00+01:00,87.96,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,19,2026-05-09 09:00:00+01:00,2026-05-09 09:30:00+01:00,97.11,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,20,2026-05-09 09:30:00+01:00,2026-05-09 10:00:00+01:00,77.27,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,21,2026-05-09 10:00:00+01:00,2026-05-09 10:30:00+01:00,65.76,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,22,2026-05-09 10:30:00+01:00,2026-05-09 11:00:00+01:00,62.02,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,23,2026-05-09 11:00:00+01:00,2026-05-09 11:30:00+01:00,89.47,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,24,2026-05-09 11:30:00+01:00,2026-05-09 12:00:00+01:00,90.07,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,25,2026-05-09 12:00:00+01:00,2026-05-09 12:30:00+01:00,77.02,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,26,2026-05-09 12:30:00+01:00,2026-05-09 13:00:00+01:00,76.04,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,27,2026-05-09 13:00:00+01:00,2026-05-09 13:30:00+01:00,85.36,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,28,2026-05-09 13:30:00+01:00,2026-05-09 14:00:00+01:00,85.89,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,29,2026-05-09 14:00:00+01:00,2026-05-09 14:30:00+01:00,89.76,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,30,2026-05-09 14:30:00+01:00,2026-05-09 15:00:00+01:00,93.72,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,31,2026-05-09 15:00:00+01:00,2026-05-09 15:30:00+01:00,80.31,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,32,2026-05-09 15:30:00+01:00,2026-05-09 16:00:00+01:00,58.97,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,33,2026-05-09 16:00:00+01:00,2026-05-09 16:30:00+01:00,84.22,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,34,2026-05-09 16:30:00+01:00,2026-05-09 17:00:00+01:00,110.24,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,35,2026-05-09 17:00:00+01:00,2026-05-09 17:30:00+01:00,97.5,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,36,2026-05-09 17:30:00+01:00,2026-05-09 18:00:00+01:00,119.66,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,37,2026-05-09 18:00:00+01:00,2026-05-09 18:30:00+01:00,128.46,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
