delivery_date,settlement_period,delivery_start,delivery_end,price_gbp_per_mwh,market,source,price_type,currency,unit,notes
2026-05-09,1,2026-05-09 00:00:00+01:00,2026-05-09 00:30:00+01:00,47.76,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,2,2026-05-09 00:30:00+01:00,2026-05-09 01:00:00+01:00,42.98,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,3,2026-05-09 01:00:00+01:00,2026-05-09 01:30:00+01:00,51.66,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,4,2026-05-09 01:30:00+01:00,2026-05-09 02:00:00+01:00,44.58,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,5,2026-05-09 02:00:00+01:00,2026-05-09 02:30:00+01:00,51.95,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,6,2026-05-09 02:30:00+01:00,2026-05-09 03:00:00+01:00,72.48,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,7,2026-05-09 03:00:00+01:00,2026-05-09 03:30:00+01:00,54.49,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,8,2026-05-09 03:30:00+01:00,2026-05-09 04:00:00+01:00,57.46,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,9,2026-05-09 04:00:00+01:00,2026-05-09 04:30:00+01:00,43.38,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,10,2026-05-09 04:30:00+01:00,2026-05-09 05:00:00+01:00,42.37,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,11,2026-05-09 05:00:00+01:00,2026-05-09 05:30:00+01:00,57.64,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
