service_date,depot_id,vehicle_id,vehicle_type,arrival_time,departure_time,battery_kwh,start_soc_pct,target_soc_pct,max_charger_kw,assigned_charger_id,priority,route_block
2026-05-09,DEPOT_A,DEPOT_A-EV-001,double_deck_bus,2026-05-09T20:50:00+01:00,2026-05-10T07:30:00+01:00,485.8,43.8,81.4,150,DEPOT_A-CHG-01,normal,RB-977
2026-05-09,DEPOT_A,DEPOT_A-EV-002,single_deck_bus,2026-05-09T20:55:00+01:00,2026-05-10T05:50:00+01:00,305.0,52.3,89.7,100,DEPOT_A-CHG-02,normal,RB-839
2026-05-09,DEPOT_A,DEPOT_A-EV-003,double_deck_bus,2026-05-09T18:25:00+01:00,2026-05-10T07:25:00+01:00,502.9,41.4,91.4,150,DEPOT_A-CHG-03,low,RB-418
2026-05-09,DEPOT_A,DEPOT_A-EV-004,double_deck_bus,2026-05-09T19:15:00+01:00,2026-05-10T06:10:00+01:00,514.8,19.6,82.3,150,DEPOT_A-CHG-04,normal,RB-714
2026-05-09,DEPOT_A,DEPOT_A-EV-005,single_deck_bus,2026-05-09T20:25:00+01:00,2026-05-10T06:10:00+01:00,353.7,25.0,81.9,150,DEPOT_A-CHG-05,normal,RB-527
2026-05-09,DEPOT_A,DEPOT_A-EV-006,single_deck_bus,2026-05-09T23:25:00+01:00,2026-05-10T06:55:00+01:00,311.7,29.6,92.5,100,DEPOT_A-CHG-06,normal,RB-823
2026-05-09,DEPOT_A,DEPOT_A-EV-007,double_deck_bus,2026-05-09T18:55:00+01:00,2026-05-10T05:10:00+01:00,484.9,18.3,91.8,150,DEPOT_A-CHG-07,normal,RB-697
2026-05-09,DEPOT_A,DEPOT_A-EV-008,single_deck_bus,2026-05-09T21:40:00+01:00,2026-05-10T05:00:00+01:00,364.1,22.2,90.0,100,DEPOT_A-CHG-08,normal,RB-523
2026-05-09,DEPOT_A,DEPOT_A-EV-009,double_deck_bus,2026-05-09T21:35:00+01:00,2026-05-10T06:25:00+01:00,425.4,29.2,80.5,100,DEPOT_A-CHG-01,normal,RB-492
2026-05-09,DEPOT_A,DEPOT_A-EV-010,commercial_van,2026-05-09T19:30:00+01:00,2026-05-10T04:40:00+01:00,118.1,28.4,84.4,50,DEPOT_A-CHG-02,normal,RB-695
2026-05-09,DEPOT_A,DEPOT_A-EV-011,double_deck_bus,2026-05-09T20:40:00+01:00,2026-05-10T07:20:00+01:00,433.9,24.2,80.3,100,DEPOT_A-CHG-03,normal,RB-180
2026-05-09,DEPOT_A,DEPOT_A-EV-012,single_deck_bus,2026-05-09T21:15:00+01:00,2026-05-10T05:00:00+01:00,349.3,43.8,86.7,75,DEPOT_A-CHG-04,normal,RB-442
2026-05-09,DEPOT_A,DEPOT_A-EV-013,single_deck_bus,2026-05-09T18:35:00+01:00,2026-05-10T04:55:00+01:00,386.6,53.6,93.6,100,DEPOT_A-CHG-05,normal,RB-729
2026-05-09,DEPOT_A,DEPOT_A-EV-014,double_deck_bus,2026-05-09T22:40:00+01:00,2026-05-10T06:05:00+01:00,392.4,28.1,81.4,100,DEPOT_A-CHG-06,normal,RB-911
2026-05-09,DEPOT_A,DEPOT_A-EV-015,single_deck_bus,2026-05-09T21:45:00+01:00,2026-05-10T05:05:00+01:00,349.0,49.7,91.4,100,DEPOT_A-CHG-07,normal,RB-746
2026-05-09,DEPOT_A,DEPOT_A-EV-016,double_deck_bus,2026-05-09T22:15:00+01:00,2026-05-10T04:50:00+01:00,383.1,33.4,80.6,100,DEPOT_A-CHG-08,normal,RB-544
2026-05-09,DEPOT_A,DEPOT_A-EV-017,single_deck_bus,2026-05-09T21:50:00+01:00,2026-05-10T05:05:00+01:00,282.5,52.2,88.7,100,DEPOT_A-CHG-01,normal,RB-411
2026-05-09,DEPOT_A,DEPOT_A-EV-018,commercial_van,2026-05-09T21:10:00+01:00,2026-05-10T07:15:00+01:00,106.4,21.1,87.3,75,DEPOT_A-CHG-02,low,RB-541
2026-05-09,DEPOT_A,DEPOT_A-EV-019,single_deck_bus,2026-05-09T19:45:00+01:00,2026-05-10T05:40:00+01:00,378.6,37.3,86.6,75,DEPOT_A-CHG-03,normal,RB-119
2026-05-09,DEPOT_A,DEPOT_A-EV-020,single_deck_bus,2026-05-09T21:35:00+01:00,2026-05-10T04:55:00+01:00,364.6,42.9,84.2,75,DEPOT_A-CHG-04,normal,RB-692
2026-05-09,DEPOT_A,DEPOT_A-EV-021,single_deck_bus,2026-05-09T23:55:00+01:00,2026-05-10T05:20:00+01:00,368.9,19.4,88.3,100,DEPOT_A-CHG-05,normal,RB-433
2026-05-09,DEPOT_A,DEPOT_A-EV-022,single_deck_bus,2026-05-10T00:10:00+01:00,2026-05-10T05:30:00+01:00,284.9,37.1,83.8,150,DEPOT_A-CHG-06,high,RB-941
2026-05-09,DEPOT_A,DEPOT_A-EV-023,single_deck_bus,2026-05-10T00:25:00+01:00,2026-05-10T07:35:00+01:00,314.8,45.7,93.4,75,DEPOT_A-CHG-07,normal,RB-903
2026-05-09,DEPOT_A,DEPOT_A-EV-024,double_deck_bus,2026-05-09T22:20:00+01:00,2026-05-10T05:50:00+01:00,398.6,21.5,91.2,100,DEPOT_A-CHG-08,low,RB-335
